Activity_code,Goal_1,Goal_2,Goal_3,
32120.01,9.2,,,
32120.02,9.4,,,
32120.03,9.1,9.2,,
32120.04,9.2,,,
32120.05,9.2,,,
32120.06,9.2,2,,
32120.07,9.2,,,
32120.08,9.2,,,
32120.09,9.2,,,
32120.10,9.2,,,
32120.11,9.2,,,
32120.12,7.1,9.2,,
32120.13,3.b ,9.2,,
32120.14,9.2,,,
32120.15,9.2,,,
32120.16,9.2,9.5,,
32120.17,9.2,,,
32130.01,8.3,9.2,,
32130.02,8.3,9.2,,
32140.01,8.3,9.2,,
32181.01,4,9.2,,
32182.01,9.5, 9.b,,
32191.01,9.2,,,
32191.02,9.2,,,
32191.03,9.2,,,
32191.04,9.2,,,
32205.01,9.2,,,
32210.01,9.2,16.6,,
32210.02,9.2,16.6,,
32210.03,9.2,16.6,,
32210.04,9.2,16.6,,
32220.01,9.2,,,
32220.02,9.2,,,
32220.03,9.2,,,
32220.04,9.2,,,
32220.05,9.2,,,
32220.06,9.2,,,
32220.07,9.2,,,
32220.08,9.2,,,
32220.09,9.2,,,
32220.10,9.2,9.5,,
32220.11,9,,,
32281.01,4,9.2,,
32310.01,9.2,16.6,,
32310.02,9.2,16.6,,
33105.01,17.11,,,
33110.01,17.11,16.6,,
33110.02,16.6,17.11,,
33110.03,16.6,17.11,,
33110.04,16.6,17.11,,
33110.05,17.1,,,
33120.01,17.11,,,
33120.02,17.11,,,
33120.03,16.6,,,
33120.04,17.1,,,
33130.01,17.1,,,
33130.02,17.1,,,
33140.01,17.1,,,
33181.01,4,,,
33210.01,8.9,16.6,,
33210.02,8.9,9.1,,
33210.03,8.9,16.6,,
33210.04,4.4,8.9,,
41005.01,DO NOT CODE,,,
41010.01,16.6,,,
41010.02,16.6,,,
41010.03,16.6,,,
41020.01,DO NOT CODE,,,
41020.02,11.6,,,
41020.03,14.1,,,
41030.01,15.5,,,
41030.02,15.5,,,
41030.03,15.5,,,
41040.01,11.4,,,
41050.01,11.5,13.1,,
41050.02,11.5,13.1,,
41050.03,11.5,13.1,,
41081.01,4,,,
41082.01,DO NOT CODE,,,
41082.02,DO NOT CODE,,,
42010.01,5,,,
42010.02,5,,,
42010.03,5,16.6,,
42010.04,5,,,
42010.05,4,5,,
42010.06,5,8.1,,
43010.01,DO NOT CODE,,,
16050.01,DO NOT CODE,,,
43030.01,11.3,,,
43030.02,11.3,,,
43030.03,11.3,16.6,,
43030.04,11.1,11.3,,
43030.05,9.1,11.3,,
43030.06,11.3,,,
43040.01,DO NOT CODE,,,
43040.02,DO NOT CODE,,,
43040.03,16.6,,,
43040.04,16.6,,,
43040.05,9.1,,,
43040.06,DO NOT CODE,,,
43040.07,11.a ,,,
43040.08,17.18,,,
43050.01,8.3,,,
43050.02,8.3,,,
43081.01,4, ,,
